processed_txt,finbert_sentiment,claude_sentiment
"S&P 500 Posts Slight Weekly Loss; Materials, Consumer Discretionary Weigh While Industrials, Energy Climb",negative,mixed
Stocks Make Comeback at End of Dizzying Week: Markets Wrap,neutral,positive
US Equity Indexes Fall This Week as Monday's Sell-off Too Deep for Supportive Data to Engineer V-Shaped Recovery,negative,negative
"How major US stock indexes fared Friday, 8/9/2024",neutral,neutral
Global Markets Go on Wild Ride in Week Marked by Forced Selling,negative,negative
"Stocks close higher, mostly recovered from Monday sell-off",positive,positive
Stock Market Today: S&P 500 rises as tech leads recovery after tumultuous week,positive,positive
Markets saw a massive shift this week. Here's what happened,neutral,neutral
"S&P 500 Gains 0.5%, Nearly Breaking Even for the Week",positive,positive
7 Best Stocks For Magnificent Earnings Growth Next Year,positive,positive
This econ. climate should be 'fertile for stocks': Strategist,positive,positive
Hennessy Japan Fund Commentary- Japan: Land of Opportunity Potential,neutral,positive
Will Homebuilding ETFs Have Their Moment Now?,neutral,neutral
Equities Rise Intraday as Markets Weigh Fed Official's Comments,negative,positive
"S&P 500 Pulls Back, Heads Toward Weekly Decline.",negative,negative
"If You Invested $1000 In Netflix Stock 20 Years Ago, How Much Would You Have Now?",neutral,neutral
"Fed rate cut odds, consumer spending: Wealth!",negative,neutral
"Volatile week for stocks, where investors are buying: Catalysts",neutral,neutral
"Midday movers: Expedia, Sweetgreen, Eli Lilly up; Nvidia, Intel down",negative,mixed
"S&P 500 Gains, Wiping Out Monday's Drop",negative,positive
"US Equity Indexes Rise, Treasury Yields Mixed in Choppy Trading",negative,mixed
Can the 'Magnificent Seven' Stocks Rebound From Their Longest Slump in Years?,positive,mixed
Healthcare Stocks Are Turning Around. Here Are the Latest Winners.,positive,positive
"FTSE 100 poised to be 'winner' in stocks turmoil, says JP Morgan",positive,positive
3 Wood Stocks Worth Watching Despite a Challenging Industry,positive,mixed
"Top Stock Movers Now: Sweetgreen, Intel, Akamai Technologies, and More",neutral,neutral
Defense Stocks Fly To Stratospheric Heights Amid Sector Rotation,neutral,positive
'Don't overreact to market volatility': Strategist,negative,neutral
US Equity Indexes Slide in Midday Trading,neutral,negative
Surging Earnings Estimates Signal Upside for ZIM (ZIM) Stock,positive,positive
Why Payoneer Global (PAYO) Might be Well Poised for a Surge,positive,positive
Why Inspire (INSP) Might be Well Poised for a Surge,positive,positive
Earnings Estimates Moving Higher for Life Time Group Holdings (LTH): Time to Buy?,positive,positive
Summers 'Appalled' at Idea of Presidential Sway Over Fed Policy,neutral,negative
S&P 500 to drop to 3750 in 2025: BCA,negative,negative
3 stocks retail investors turned to when stocks fell this week,negative,neutral
The yen carry trade's impact on the markets this week,neutral,neutral
3 Promising mREIT Stocks to Buy as Industry Gains Momentum,positive,positive
"Bitcoin Briefly Climbs To $61K Then Seesaws, Mirroring Stock Market Movements",positive,mixed
Dow Ticks Up. It's a Summer Friday for the Stock Market.,neutral,neutral
Volatility Pros Say Record VIX Surge on Monday Was a Head Fake,positive,positive
The labor market and economy are not collapsing: Strategist,neutral,positive
"Google Has Been Ruled a Monopoly. On the Internet, It May Not Matter.",positive,mixed
Market will 'continue to churn' until the election: Ed Yardeni,negative,negative
3 Steel Producer Stocks to Watch Amid Industry Challenges,neutral,mixed
"Stocks open lower, Wall Street's 'fear gauge' dips below 25",negative,mixed
Buffett's Apple Share Dump Is Set to Reshape Major Stock Gauges,negative,neutral
"Stock market today: S&P 500, Nasdaq rise, nearly wiping out week's losses in wild turnaround",positive,positive
Stocks Open Lower to Close Out a Volatile Trading Week,negative,negative
"Tech stocks, bitcoin above $60k, Powell under fire: 3 things",positive,mixed
"Stock Market News for Aug 9, 2024",,
